Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue Name,Venue Latitude,Venue Longitude,Venue Address,Category ID,Category Name,Category ICON,City
"Garden District, Ryerson",43.6571618,-79.37893709999999,4ad77a12f964a520260b21e3,CF Toronto Eaton Centre,43.65360766527976,-79.38067188503244,220 Yonge St (btwn Queen & Dundas),4bf58dd8d48988d1fd941735,Shopping Mall,https://ss3.4sqi.net/img/categories_v2/shops/mall_.png,Toronto
St. James Town,43.6514939,-79.3754179,4ad77a12f964a520260b21e3,CF Toronto Eaton Centre,43.65360766527976,-79.38067188503244,220 Yonge St (btwn Queen & Dundas),4bf58dd8d48988d1fd941735,Shopping Mall,https://ss3.4sqi.net/img/categories_v2/shops/mall_.png,Toronto
Richmond / Adelaide / King,43.65057119999999,-79.3845675,4ad77a12f964a520260b21e3,CF Toronto Eaton Centre,43.65360766527976,-79.38067188503244,220 Yonge St (btwn Queen & Dundas),4bf58dd8d48988d1fd941735,Shopping Mall,https://ss3.4sqi.net/img/categories_v2/shops/mall_.png,Toronto
