City,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Number of Recommendation,Recommend Reason,Venue ID,Venue Name,Venue Latitude,Venue Longitude,Venue Address,Category ID,Category Name,Category ICON
New York,Co-op City,40.87429419303012,-73.82993910812398,0,This spot is popular,4c72e57c8efc37046b30147d,Bartow Pizza,40.87002859702255,-73.82892288179492,2051 Bartow Ave,4bf58dd8d48988d1ca941735,Pizza Place,https://ss3.4sqi.net/img/categories_v2/food/pizza_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,515cc20ce4b0deb133b8e89b,Fish & Ting,40.88553926848355,-73.82915130799964,4063 Boston Rd,4bf58dd8d48988d144941735,Caribbean Restaurant,https://ss3.4sqi.net/img/categories_v2/food/caribbean_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4c54720972cf0f47df1094d4,Cozy Cottage Restaurant,40.88633207186384,-73.82761561924221,4105 Boston Rd,4bf58dd8d48988d147941735,Diner,https://ss3.4sqi.net/img/categories_v2/food/diner_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4c632f1cde1b2d7fed31e470,Mario's Pizza,40.88862762439113,-73.83126012557018,3824 Dyre Ave (East 233 Street),4bf58dd8d48988d1ca941735,Pizza Place,https://ss3.4sqi.net/img/categories_v2/food/pizza_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4bfdd3dfb68d0f47fa6fe957,Dyre Fish Market,40.888663925778665,-73.83134124528924,3901 Dyre Ave (E 233rd St),4bf58dd8d48988d1ce941735,Seafood Restaurant,https://ss3.4sqi.net/img/categories_v2/food/seafood_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4e97d1ba4fc674719a2464ff,Dyre Deli Grocery,40.88823525219036,-73.8312823268945,3805 Dyre Ave (Light St),4bf58dd8d48988d146941735,Deli / Bodega,https://ss3.4sqi.net/img/categories_v2/food/deli_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4ba3782cf964a520b43f38e3,Dunkin Donuts,40.88548117663743,-73.82801495153132,4090 Boston Rd (Conner Street),4bf58dd8d48988d148941735,Donut Shop,https://ss3.4sqi.net/img/categories_v2/food/donuts_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4c632fbaeb82d13a3c5007d6,Golden Krust Caribbean Bakery and Grill,40.88854318502737,-73.83127757319923,3818 Dyre Ave (East 233 Street),4bf58dd8d48988d144941735,Caribbean Restaurant,https://ss3.4sqi.net/img/categories_v2/food/caribbean_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4b513936f964a520e94727e3,BowlerLand,40.88601990111869,-73.82320747767668,2417 Hollers Ave,4bf58dd8d48988d1e4931735,Bowling Alley,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/bowling_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4c406f2e6c1a9521a042b96a,McDonald's,40.88563631373264,-73.82683955509486,3550 Conner St,4bf58dd8d48988d16e941735,Fast Food Restaurant,https://ss3.4sqi.net/img/categories_v2/food/fastfood_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4c8586dfe602b1f70cc9b87a,Dyre Ave Diner,40.887968729082246,-73.83141284372412,3803 Dyre Ave (at Light St.),4bf58dd8d48988d147941735,Diner,https://ss3.4sqi.net/img/categories_v2/food/diner_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4dbf84a24df0f8fd6b88c9b6,Royal Caribbean Bakery,40.888251933965,-73.83145707477787,3815 Dyre Ave,4bf58dd8d48988d144941735,Caribbean Restaurant,https://ss3.4sqi.net/img/categories_v2/food/caribbean_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,51a3a39d498e1de15c43a064,NYW&B Railway - Baychester,40.887882155187874,-73.83116319314648,"Bronx, NY",4f4531504b9074f6e4fb0102,Platform,https://ss3.4sqi.net/img/categories_v2/travel/trainstation_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4e1638e145ddc623eb07573a,MTA Bus - BX 16,40.88790343813609,-73.83125388185631,at E 233rd St,4bf58dd8d48988d1fe931735,Bus Station,https://ss3.4sqi.net/img/categories_v2/travel/busstation_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4deaefa688774880e32afe64,Adil Newsstand & Grocery,40.888433208510854,-73.83127682668768,3812 Dyre Ave (Light Street),4d954b0ea243a5684a65b473,Convenience Store,https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,56a2caae498e884198638b9a,Freckle's Juice,40.88878559548764,-73.83117532757048,3828 Dyre Ave (E 33rd Street),4bf58dd8d48988d112941735,Juice Bar,https://ss3.4sqi.net/img/categories_v2/food/juicebar_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4dd85362e4cd37c893c2e3e4,Sunshine Supermarket,40.888868844071744,-73.83128840402118,3830 Dyre Ave (E 233 St),4bf58dd8d48988d146941735,Deli / Bodega,https://ss3.4sqi.net/img/categories_v2/food/deli_.png
New York,Eastchester,40.887555677350775,-73.82780644716412,0,This spot is popular,4c11243a6b7e2d7faec42835,Dome Groomer's,40.884440701933244,-73.83205345211809,4018 Boston Rd,4bf58dd8d48988d10c951735,Cosmetics Shop,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_.png
New York,Riverdale,40.890834493891305,-73.9125854610857,0,This spot is popular,4c268383136d20a15a83e561,Riverdale Ave,40.890424929507866,-73.91024841803598,"Bronx, NY 10463",4bf58dd8d48988d164941735,Plaza,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_.png
New York,Riverdale,40.890834493891305,-73.9125854610857,0,This spot is popular,4bf9ecdd5efe2d7fb20b6d34,Chase Bank,40.888089,-73.907921,3775 Riverdale Ave,4bf58dd8d48988d10a951735,Bank,https://ss3.4sqi.net/img/categories_v2/shops/financial_.png
New York,Riverdale,40.890834493891305,-73.9125854610857,0,This spot is popular,4bd784e2885595217acd87a7,Seton Park,40.88791393116787,-73.91611321473175,Independence at W 235th,4bf58dd8d48988d163941735,Park,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_.png
New York,Riverdale,40.890834493891305,-73.9125854610857,0,This spot is popular,4e5d1a53b0fbc0acda3c5b8a,Bell Tower Park,40.88917798960079,-73.90833081276627,239th St Henry Hudson Pkwy,4bf58dd8d48988d163941735,Park,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_.png
New York,Riverdale,40.890834493891305,-73.9125854610857,0,This spot is popular,577dc4be498e0cae8de28910,Shallash Pest Control,40.89466945869686,-73.91321539878845,PO BOX 146,545419b1498ea6ccd0202f58,Home Service,https://ss3.4sqi.net/img/categories_v2/shops/hardware_.png
New York,Riverdale,40.890834493891305,-73.9125854610857,0,This spot is popular,4debf073ae60e98923802c89,MTA BX7 238th Stop,40.88903574764659,-73.9080494858546,3801-3823 Riverdale Ave (henry hudson parkway),4bf58dd8d48988d1fe931735,Bus Station,https://ss3.4sqi.net/img/categories_v2/travel/busstation_.png
New York,Riverdale,40.890834493891305,-73.9125854610857,0,This spot is popular,4ce716cd0f196dcb7fe43bae,Hayden On Hudson Gym,40.888722,-73.917011,Douglas Avenue,4bf58dd8d48988d176941735,Gym,https://ss3.4sqi.net/img/categories_v2/building/gym_.png
New York,Riverdale,40.890834493891305,-73.9125854610857,0,This spot is popular,53be952c498ea15ad3fe0efc,Whitehall Health Club,40.88677542573004,-73.91181905700154,3333 Henry Hudson Pkwy,4bf58dd8d48988d175941735,Gym / Fitness Center,https://ss3.4sqi.net/img/categories_v2/building/gym_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,4af8b2c0f964a520460f22e3,Garden Gourmet Market,40.88135023917183,-73.90338943716417,5665 Broadway (btwn W 233rd & W 234th St),4bf58dd8d48988d1f5941735,Gourmet Shop,https://ss3.4sqi.net/img/categories_v2/shops/food_gourmet_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,55297008498e9286460da191,Leche y Miel,40.88370946311038,-73.90160581178267,5761 Broadway (236th Street),4bf58dd8d48988d1be941735,Latin American Restaurant,https://ss3.4sqi.net/img/categories_v2/food/latinamerican_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,58935fd798f8aa7c14662653,Kingsbridge Social Club,40.88454548045115,-73.90196378126393,3625 Kingsbridge Ave,4bf58dd8d48988d1ca941735,Pizza Place,https://ss3.4sqi.net/img/categories_v2/food/pizza_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,4bd8e98811dcc928f865f833,El Malecon,40.87933806746814,-73.90445707056641,5592 Broadway (at W 231st St),4bf58dd8d48988d144941735,Caribbean Restaurant,https://ss3.4sqi.net/img/categories_v2/food/caribbean_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,4bb114c4f964a520b9783ce3,Sam's Pizza,40.87943501792795,-73.90585879861192,232 W 231st St (Godwin Terrace),4bf58dd8d48988d1ca941735,Pizza Place,https://ss3.4sqi.net/img/categories_v2/food/pizza_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,4d9a37d4d97ba1430a07346b,Loeser's Delicatessen,40.879241887611094,-73.9054706858219,214 W 231st St,4bf58dd8d48988d1c5941735,Sandwich Place,https://ss3.4sqi.net/img/categories_v2/food/deli_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,59b17fe23b4e0043787e1a7c,The Bronx Public,40.87837659295958,-73.90348117090952,170 West 231st Street,4bf58dd8d48988d11b941735,Pub,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,4acec156f964a520d3d120e3,Bronx Alehouse,40.88468935285692,-73.89970709720696,216 W 238th St (btwn Review Pl & Putnam Ave W),56aa371ce4b08b9a8d57356c,Beer Bar,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,55568a71498e3524400a356e,Smashburger,40.8842208517097,-73.90033254824955,193 W 237th St (btwn Broadway & Putnam Ave W),4bf58dd8d48988d16c941735,Burger Joint,https://ss3.4sqi.net/img/categories_v2/food/burger_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,4ce81d330f196dcb5d2b43ae,Picante Picante Mexican Restaurant,40.878252,-73.902936,156 W 231st St,4bf58dd8d48988d1c1941735,Mexican Restaurant,https://ss3.4sqi.net/img/categories_v2/food/mexican_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,4bdc88c92a3a0f47144ab3b6,Carvel Ice Cream,40.883657145742866,-73.90165452034793,5759 Broadway,4bf58dd8d48988d1c9941735,Ice Cream Shop,https://ss3.4sqi.net/img/categories_v2/food/icecream_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,5217dd2811d2d06ccafb77d3,Estrellita Poblana V,40.879687039717524,-73.906256832975,240 W 231st St,4bf58dd8d48988d1c1941735,Mexican Restaurant,https://ss3.4sqi.net/img/categories_v2/food/mexican_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,558b30d0498e2fb129a2a42b,Tilila,40.88387242577101,-73.89820853750416,3648 Bailey Avenue (Off 238th Street),4bf58dd8d48988d116941735,Bar,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,553d5376498e322eb4d37a1b,Chipotle Mexican Grill,40.88445493712577,-73.9007461344216,193 W 237th St,4bf58dd8d48988d1c1941735,Mexican Restaurant,https://ss3.4sqi.net/img/categories_v2/food/mexican_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,56310a2c498e97016b257476,BJ's  Wholesale Club,40.88410355664641,-73.90026731218994,184 W 237th St,52e816a6bcbc57f1066b7a54,Warehouse Store,https://ss3.4sqi.net/img/categories_v2/shops/default_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,5660c06b498e4003dba169a5,Mon Amour Coffee & Wine,40.88500863418534,-73.90033222698838,234 W 238th St (nr Broadway),4bf58dd8d48988d1e0931735,Coffee Shop,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,50ea5611e4b044bdeead3ade,Q'Kachapa,40.880005888670006,-73.9041570896363,5625 Broadway,4bf58dd8d48988d150941735,Spanish Restaurant,https://ss3.4sqi.net/img/categories_v2/food/spanish_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,4b6b4bf7f964a520f1fe2be3,MyUnique,40.88196572342435,-73.90358396335206,218 W 234th St,4bf58dd8d48988d101951735,Thrift / Vintage Store,https://ss3.4sqi.net/img/categories_v2/shops/default_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,51d2ee9b5a2347d14627b779,Buffalo Wild Wings,40.8844445,-73.8999146,193 W 237th St,4bf58dd8d48988d14c941735,Wings Joint,https://ss3.4sqi.net/img/categories_v2/food/wings_.png
New York,Kingsbridge,40.88168737120521,-73.90281798724604,0,This spot is popular,4debd81822713dd973b85876,Sugarboy Bakery Cafe,40.87783170338122,-73.90266884096424,3069 Bailey Ave (231st St),4bf58dd8d48988d16a941735,Bakery,https://ss3.4sqi.net/img/categories_v2/food/bakery_.png
